College,Private,Apps,Top10perc,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_transformed,Top10perc_transformed,P.Undergrad_transformed,Outstate_transformed,Books_transformed,Personal_transformed,Terminal_transformed,S.F.Ratio_transformed,perc.alumni_transformed,Expend_transformed,Accept_Rate,Outstate_Tier,Outstate_Tier_encoded,Private_encoded,Apps_transformed_scaled,Top10perc_transformed_scaled,P.Undergrad_transformed_scaled,Outstate_transformed_scaled,Books_transformed_scaled,Personal_transformed_scaled,Terminal_transformed_scaled,S.F.Ratio_transformed_scaled,perc.alumni_transformed_scaled,Expend_transformed_scaled,Private_encoded_scaled,Accept_Rate_scaled
Alfred University,Yes,1732,37,110,16548,5406,500,600,82.0,11.3,31,10932,73.0,5.755090956791713,5.938297343999169,5.982712467555968,78.72268540101582,9.521846755027648,8.183897511239495,46823.40870445627,5.563890873647727,3.4657359027997265,1.831935246877608,0.8227482678983834,High,2,1,0.06748238366850189,0.7226458157909562,-0.6681269626758217,1.4088462913452764,-0.2291946039516519,-1.4016057556008417,0.5124477851823425,-0.6789541283407586,0.7487430981377603,0.6391260070100195,0.6125530498969481,0.5157537502634537
Allegheny College,Yes,2652,44,44,17080,4440,400,600,73.0,9.9,41,11711,76.0,5.998914390891074,6.384759375706862,4.588789834932753,79.61370545201353,9.032160306951633,8.183897511239495,51116.35602619839,5.004898062218455,3.7376696182833684,1.8323710965587676,0.7164404223227753,High,2,1,0.459000382681299,1.0296888476949617,-1.1623087972167596,1.5045123674303469,-1.0385747644227592,-1.4016057556008417,0.7816568116943878,-1.0739217798372556,1.1929497028195202,0.7928286551963845,0.6125530498969481,-0.20738347780626848
Allentown Coll. of St. Francis de Sales,Yes,1179,38,638,9690,4785,600,1000,60.0,13.3,21,7940,74.0,5.528389402746837,6.005729697666701,9.037396713903654,65.03004828915206,9.932527964405688,9.020229620808045,41456.75591363073,6.317705088840353,3.091042453358316,1.8296827172602483,0.6615776081424937,Medium,1,1,-0.29654226039655907,0.7690207208177242,0.4148380667121805,-0.061289944401662744,0.4496014388117547,-0.38127720177114266,0.17590711389826053,-0.14633148248231995,0.13667737956055104,-0.15522989657869318,0.6125530498969481,-0.5805764736347528
Alma College,Yes,1267,44,28,12572,4552,400,400,79.0,15.3,32,9305,68.0,5.571303850748826,6.384759375706862,3.9463123049721003,71.37842830891935,9.032160306951633,7.542235485378162,45443.82519345305,7.0284946523737215,3.4965075614664802,1.8308489742093965,0.8524072612470402,Medium,1,1,-0.22763264605805186,1.0296888476949617,-1.3900837948934837,0.6203160478629941,-1.0385747644227592,-2.1844360205206956,0.4259346495311623,0.35589122750062535,0.7990089285165864,0.2560513072365705,0.6125530498969481,0.7175029449852314
Alverno College,Yes,494,23,1235,8352,3640,650,2449,36.0,11.1,26,8127,55.0,4.991633385594112,4.810280968585637,10.32941769651916,61.653322067093875,10.115893212874479,10.565285326374507,24776.67217560797,5.485757336611017,3.295836866004329,1.8298601983174199,0.6336032388663968,Medium,1,1,-1.1584349762053046,-0.053119072030679164,0.872893115472483,-0.4238386292670067,0.7526774067369608,1.5036970035839818,-0.8700943318940553,-0.7341609556836695,0.47121122188858366,-0.09264109665666519,0.6125530498969481,-0.7708663600093951
American International College,Yes,1420,9,287,8700,4780,450,1400,78.0,14.7,19,7355,69.0,5.638810341012978,2.949204668711685,7.583292703632015,62.56390370625873,9.28888019207096,9.588655932737819,41456.75591363073,6.819270625421226,2.995732273553991,1.8290831651445847,0.7697183098591549,Medium,1,1,-0.11923450915941827,-1.3330274833513371,-0.10067963175366583,-0.3260722857638828,-0.6142542984789047,0.31220519615957604,0.17590711389826053,0.20805976907672294,-0.019012808716357025,-0.3666623052432123,0.6125530498969481,0.15502838090331927
Amherst College,Yes,4302,83,5,19760,5300,660,1598,75.0,8.4,63,21424,100.0,6.266764828378472,8.20001615554453,1.7444792019657311,83.8450796425872,10.151083734530816,9.816036908956328,62055.431121210495,4.370566609326042,4.1588830833596715,1.8355717150466038,0.23059042305904232,High,2,1,0.8890995965125372,2.2780860366648286,-2.1706909080364514,1.958821970010619,0.8108421980583805,0.589610906138956,1.467641878959388,-1.5221214688076337,1.8810063596964015,1.921528660450019,0.6125530498969481,-3.512278049067009
Anderson University,Yes,1216,19,281,10100,3520,550,1100,48.0,12.1,14,7994,59.0,5.546838255829398,4.394249799363181,7.54637209985175,66.002883773408,9.735330960613702,9.179807776613403,17947.080041564655,5.8711895619635985,2.70805020110221,1.8297346255622378,0.7467105263157895,Medium,1,1,-0.26691812656526537,-0.3392340437249904,-0.11376894624033462,0.04316040253595542,0.12366360001576755,-0.18659120673062196,-1.2983753500580535,-0.4618260387652622,-0.488944521318963,-0.13692440314021118,0.6125530498969481,-0.0014773287692968597
Andrews University,Yes,1130,14,326,9996,3090,900,1320,62.0,11.5,18,10908,46.0,5.502977625509524,3.7701053698334652,7.807593569134601,65.75860856789679,10.881155996328122,9.488227278086839,22055.92836451695,5.641488213824212,2.9444389791664403,1.8319210608491145,0.6230088495575221,Medium,1,1,-0.33734706741628784,-0.7684736752694478,-0.02115914000686885,0.016933326759192444,2.0175449906937217,0.18968183158858168,-1.0407110988557453,-0.6241261617099947,-0.10280094841912382,0.6341232956603398,0.6125530498969481,-0.8429325116318768
Angelo State University,No,3540,24,1512,5130,3592,500,2000,60.0,23.1,5,4010,34.0,6.159956447207543,4.90575996229404,10.742445005765433,51.7116405815737,9.521846755027648,10.2068887785124,18727.219793357373,9.508587325922857,1.791759469228055,1.823338696181014,0.5652542372881356,Low,0,0,0.7175926868986038,0.012544204192919739,1.0193220410253423,-1.4912463226655415,-0.2291946039516519,1.066451766681205,-1.2494530951634284,2.1082507547381426,-1.9857151375821298,-2.3924526873218346,-1.6325116659989423,-1.2357963684675608
Antioch University,Yes,713,25,23,15476,3336,400,1100,69.0,11.3,35,42926,48.0,5.22220392427682,4.998323204843082,3.6755348752820938,76.86837151233183,9.032160306951633,9.179807776613403,38923.295934475835,5.563890873647727,3.58351893845611,1.8381648399288493,0.9270687237026648,High,2,1,-0.7881977335472875,0.07620224590010687,-1.4860814376784817,1.209754325500277,-1.0385747644227592,-0.18659120673062196,0.01703484187169807,-0.6789541283407586,0.9411429344911897,2.8359956859131503,0.6125530498969481,1.2253721686672496
Appalachian State University,No,7313,20,1035,6806,2540,96,2000,83.0,18.3,14,5854,70.0,6.54989071997773,4.503953018570464,9.975521285593517,57.274762274226106,6.21220062523768,10.2068887785124,58795.90038007271,8.030178088121435,2.70805020110221,1.8271398637156389,0.6377683577191303,Low,0,0,1.3437272780440968,-0.2637884142137955,0.7474276315958315,-0.8939510962294311,-5.699556150931114,1.066451766681205,1.2632379969775114,1.0636508731902279,-0.488944521318963,-1.0519687050520372,-1.6325116659989423,-0.7425339967163727
Aquinas College,Yes,619,20,767,11208,4124,350,1615,55.0,12.7,25,6584,65.0,5.134098490891557,4.503953018570464,9.389184617710773,68.50835131369257,8.745786153121648,9.834323266073229,21192.12243816821,6.096499940947927,3.258096538021482,1.828170389974447,0.8336025848142165,Medium,1,1,-0.9296724983030674,-0.2637884142137955,0.5395560299649554,0.31216472861049205,-1.5119094043589478,0.6119203357285081,-1.094880026424442,-0.3026284436876273,0.4095619963667674,-0.6885530095696396,0.6125530498969481,0.5895880059066398
Arizona State University Main campus,No,12809,24,7585,7434,4850,700,2100,88.0,18.9,5,4602,48.0,6.837344770841847,4.90575996229404,14.34667500916723,59.12503624240117,10.287356219704934,10.292735461642394,54108.59763306137,8.222602697493853,1.791759469228055,1.8248132260878547,0.8047466625029276,Low,0,0,1.8053048750382341,0.012544204192919739,2.297115337082717,-0.6952928841954168,1.0360807080301793,1.171185067061469,0.9692990979140862,1.1996123641074883,-1.9857151375821298,-1.8724588424063098,-1.6325116659989423,0.39330153654403927
Arkansas College (Lyon College),Yes,708,46,182,8644,3922,500,800,79.0,12.6,24,14579,54.0,5.2178396738875765,6.502523683542768,6.804177867491144,62.41900937969626,9.521846755027648,8.650998387185288,46823.40870445627,6.059240608651982,3.2188758248682006,1.8336546318953009,0.4717514124293785,Medium,1,1,-0.7952056021137317,1.1106782881401172,-0.37689610893187386,-0.34162914293415475,-0.2291946039516519,-0.8317407990918487,0.5124477851823425,-0.32895477682173246,0.34549454598816776,1.2454681517793549,0.6125530498969481,-1.871830079986632
Arkansas Tech University,No,1734,12,939,3460,2650,450,1000,57.0,19.6,5,4739,48.0,5.755761698858027,3.473099970406587,9.783155447783617,44.80806703121592,9.28888019207096,9.020229620808045,17187.345783259294,8.444119375767272,1.791759469228055,1.8251133777661102,0.9971164936562861,Low,0,0,0.06855942366930087,-0.9727316677869278,0.6792289379186931,-2.2324617327877823,-0.6142542984789047,-0.38127720177114266,-1.3460179845367914,1.3561294433902287,-1.9857151375821298,-1.7666101753091932,-1.6325116659989423,1.7018576991796808
Assumption College,Yes,2135,23,689,12000,5920,500,500,93.0,13.8,30,7100,88.0,5.875756050770481,4.810280968585637,9.183530203047702,70.20106399479539,9.521846755027648,7.892981014082466,54108.59763306137,6.499091684336911,3.4339872044851463,1.8287982470256774,0.7962529274004684,Medium,1,1,0.26123962574723714,-0.053119072030679164,0.4666461901064971,0.49390607097335004,-0.2291946039516519,-1.7565250579131293,0.9692990979140862,-0.018169123018266124,0.696881263144984,-0.4671388486143458,0.6125530498969481,0.3355246525831801
Auburn University-Main Campus,No,7548,25,1716,6300,3933,600,1908,85.0,16.7,18,6642,69.0,6.5664259314045506,4.998323204843082,11.004992786854233,55.70053533521516,9.932527964405688,10.124324546348268,51116.35602619839,7.504643909305106,2.9444389791664403,1.8282446993507002,0.8997085320614733,Low,0,0,1.3702785934047195,0.07620224590010687,1.1124020592964763,-1.0629709897256059,0.4496014388117547,0.9657230697457871,0.7816568116943878,0.6923240937679691,-0.10280094841912382,-0.6623477640253405,-1.6325116659989423,1.0392600991794334
Augsburg College,Yes,662,12,726,11902,4372,540,950,65.0,12.8,31,7836,58.0,5.176065717707329,3.473099970406587,9.283565390234328,69.9956703413792,9.694027010948128,8.934814419422105,21192.12243816821,6.133645307514049,3.4657359027997265,1.8295811951503256,0.7749244712990937,Medium,1,1,-0.8622838786335921,-0.9727316677869278,0.502111266263199,0.4718535875829905,0.05539420530459672,-0.4854840926797661,-1.094880026424442,-0.27638263533977875,0.7487430981377603,-0.19103172876789828,0.6125530498969481,0.19044222201896147
Augustana College IL,Yes,1879,36,38,13353,4173,540,821,78.0,12.7,40,9220,71.0,5.802298962839009,5.869495015931659,4.377246964093502,72.93046543746249,9.694027010948128,8.693560796343053,40177.688977444705,6.096499940947927,3.713572066704308,1.8307842087388648,0.8823842469398616,Medium,1,1,0.14328635277136295,0.675328745331237,-1.2373062479710122,0.7869534898148401,0.05539420530459672,-0.7798144878972988,0.09569733284866454,-0.3026284436876273,1.1535860970634626,0.23321172569719256,0.6125530498969481,0.9214152171455692
Augustana College,Yes,761,21,300,10990,3244,600,1021,66.0,10.4,30,6871,69.0,5.2625024368532864,4.609647768547939,7.660958564050375,68.02870056722396,9.932527964405688,9.054929879129054,25727.357029277508,5.207867505648501,3.4339872044851463,1.8285285876191586,0.9526938239159002,Medium,1,1,-0.7234886416365378,-0.1910995085854955,-0.07314506384833197,0.26066610660468426,0.4496014388117547,-0.33894274637344624,-0.8104772611976783,-0.9305096236198235,0.696881263144984,-0.5622343980249318,0.6125530498969481,1.3996816360153455
Austin College,Yes,948,42,15,11280,4342,400,1150,81.0,13.0,33,11361,71.0,5.397006827825975,6.262942194174836,3.1049799334202035,68.66542055013768,9.032160306951633,9.254619779877157,57206.70743459923,6.207599060205051,3.5263605246161616,1.8321809780507936,0.8417721518987342,Medium,1,1,-0.5075090324304683,0.9459121453121655,-1.6883580068917186,0.32902876832268085,-1.0385747644227592,-0.09532026038541107,1.1635803366973685,-0.22412911897517096,0.8477740600370556,0.7257832507645184,0.6125530498969481,0.6451598036797981
Averett College,Yes,627,16,538,9925,4135,750,1350,59.0,22.4,11,6523,48.0,5.142138629605635,4.037027549018027,8.71737810776415,65.59088322302608,10.448461969422015,9.526532156293346,22941.155750332633,9.30101134322099,2.4849066497880004,1.8280911398037578,0.886762360446571,Medium,1,1,-0.9167620943759427,-0.5849046607537621,0.3013831459239031,-0.001074826464552071,1.3023649764046783,0.23641393781517428,-0.9851988400469104,1.9615837552373678,-0.8534518760234878,-0.7165006291979146,0.6125530498969481,0.9511964327113076
Baker University,Yes,602,21,466,8620,4100,400,2250,58.0,11.0,21,6136,65.0,5.116636653484124,4.609647768547939,8.451834948178204,62.35672301704291,9.032160306951633,10.414659937032676,23848.004199077237,5.446485308095454,3.091042453358316,1.8275603335132906,0.8023255813953488,Medium,1,1,-0.957711737706359,-0.1910995085854955,0.20724118805424357,-0.3483166376790663,-1.0385747644227592,1.3199334198128518,-0.9283307329438812,-0.7619093999483375,0.13667737956055104,-0.9036897818932241,0.6125530498969481,0.3768326308712091
Baldwin-Wallace College,Yes,1690,30,1460,10995,4410,1000,1000,68.0,17.6,20,8086,85.0,5.740810196339767,5.42374736044689,10.670423504010902,68.03977144170719,11.135873380654385,9.020229620808045,29754.174387837,7.802551862710342,3.044522437723423,1.829821827737316,0.808284023668639,Medium,1,1,0.04455113927364109,0.3687770077049723,0.9937885450977617,0.2618547522692284,2.4385556153715937,-0.38127720177114266,-0.5579571392876599,0.9028169700855416,0.060686441260878146,-0.10617250445471191,0.6125530498969481,0.4173637074421859
Barat College,Yes,261,15,266,9690,4300,500,500,57.0,9.7,35,9337,71.0,4.575781894199479,3.9068791807486942,7.450865680203919,65.03004828915206,9.521846755027648,7.892981014082466,33014.976620545895,4.922598019537103,3.58351893845611,1.8308731205994737,0.735632183908046,Medium,1,1,-1.8261859838092964,-0.6744109272506593,-0.14762845649391362,-0.061289944401662744,-0.2291946039516519,-1.7565250579131293,-0.35347352257287784,-1.1320725358242631,0.9411429344911897,0.2645665459976302,0.6125530498969481,-0.07683547168872246
Bard College,Yes,1910,50,15,19264,6206,750,750,98.0,10.4,30,13894,79.0,5.811747969199109,6.727069965106191,3.1049799334202035,83.09173877871021,10.448461969422015,8.545341066409259,62055.431121210495,5.207867505648501,3.4339872044851463,1.833385568016347,0.4387434554973822,High,2,1,0.15845903736761868,1.2651043449994013,-1.6883580068917186,1.87793808381642,1.3023649764046783,-0.9606431574678065,1.467641878959388,-0.9305096236198235,0.696881263144984,1.150582615517194,0.6125530498969481,-2.09635990984827
Barnard College,Yes,2496,53,69,17926,8124,600,850,83.0,10.3,33,12580,91.0,5.9646781587167075,6.886856882263634,5.2574693501391385,80.99381766527193,9.932527964405688,8.750709491517258,54108.59763306137,5.167582732162698,3.5263605246161616,1.8328073984605706,0.561698717948718,High,2,1,0.4040257607211175,1.3749937779595973,-0.925244514156253,1.6526907612293125,0.4496014388117547,-0.7100928488101287,0.9692990979140862,-0.9589736432806009,0.8477740600370556,0.9466907792604569,0.6125530498969481,-1.2599820566031195
Barry University,Yes,990,18,3144,11290,5360,600,1800,76.0,12.6,11,9084,72.0,5.423291155867108,4.280162520647578,12.307519202259401,68.68718358158614,9.932527964405688,10.02256149629937,34148.77423378909,6.059240608651982,2.4849066497880004,1.8306786456109139,0.7919191919191919,Medium,1,1,-0.46530313225490594,-0.41769469988544683,1.5741815572673292,0.33136539791935343,0.4496014388117547,0.8415717373961816,-0.28237352323745246,-0.32895477682173246,-0.8534518760234878,0.19598482610711043,0.6125530498969481,0.30604530939689767
Baylor University,Yes,6075,34,484,6450,3920,600,1346,71.0,18.5,38,7503,72.0,6.452159177660709,5.727506810854239,8.521516539356103,56.175606369775096,9.932527964405688,9.52147064694821,31904.737047146835,8.094588631441848,3.6635616461296463,1.829241640702582,0.8804938271604938,Low,0,1,1.1867954473128406,0.5776799288914052,0.23194512481235613,-1.0119640772693326,0.4496014388117547,0.2302388759572927,-0.4230962065588109,1.109161442390268,1.0718935453228027,-0.3107758058606938,0.6125530498969481,0.9085560258813842
Beaver College,Yes,1163,23,519,12850,5400,400,800,78.0,12.2,30,8954,73.0,5.5202182647885305,4.810280968585637,8.650570874904489,71.93795880187906,9.032160306951633,8.650998387185288,48228.57254567277,5.909038089917999,3.4339872044851463,1.8305754356896569,0.7308684436801376,Medium,1,1,-0.3096630155647852,-0.053119072030679164,0.2776982439626942,0.6803911120003983,-1.0385747644227592,-0.8317407990918487,0.6005650532112241,-0.43508339754859504,0.696881263144984,0.15958778625130116,0.6125530498969481,-0.1092398336151793
Bellarmine College,Yes,807,39,605,8840,2950,750,1290,74.0,13.1,31,6668,84.0,5.298641024465666,6.071854355974564,8.937122062640498,62.923478691352045,10.448461969422015,9.449107698757023,38923.295934475835,6.2444098482081,3.4657359027997265,1.8282776864287342,0.8760842627013631,Medium,1,1,-0.6654593239812809,0.8144962912549331,0.3792880943109691,-0.2874658280935898,1.3023649764046783,0.14195578669882095,0.01703484187169807,-0.1981197138629203,0.7487430981377603,-0.6507148514205461,0.6125530498969481,0.8785608716883411
Belmont Abbey College,Yes,632,17,131,9000,4850,300,2480,78.0,13.2,10,7550,52.0,5.147108027436891,4.161257057510804,6.263131465703387,63.329869752333565,8.421257384519414,10.587722321375143,42760.679669250785,6.281111475406707,2.3978952727983707,1.8292909625303169,0.7816455696202531,Medium,1,1,-0.9087825139784368,-0.4994689411839057,-0.5687111330584819,-0.2438328726773592,-2.048308048513365,1.5310702281670878,0.25767565625110594,-0.17218743851993448,-0.9955858819980911,-0.2933824340998798,0.6125530498969481,0.23616110930551232
Belmont University,Yes,1220,28,623,7800,3664,650,900,61.0,11.1,19,7614,49.0,5.548796565969473,5.260422081682251,8.992411309903918,60.15636813523508,10.115893212874479,8.845130755470747,17947.080041564655,5.485757336611017,2.995732273553991,1.8293573677733466,0.7983606557377049,Low,0,1,-0.2637735819470627,0.2564541555541443,0.398889570751312,-0.5845619581984869,0.7526774067369608,-0.5948985251698033,-1.2983753500580535,-0.7341609556836695,-0.019012808716357025,-0.2699645858179488,0.6125530498969481,0.3498620405629711
Beloit College,Yes,1320,26,81,16304,3616,355,715,75.0,11.1,26,12957,69.0,5.595633998156974,5.088171214391668,5.503052191233586,78.30772062422054,8.775973574563912,8.467426973647868,57206.70743459923,5.485757336611017,3.295836866004329,1.8329825041799006,0.6992424242424242,High,2,1,-0.18856465956975318,0.13799295441079093,-0.8381790084362992,1.3642928024927294,-1.4620140067894487,-1.0556986655376748,1.1635803366973685,-0.7341609556836695,0.47121122188858366,1.0084419148859107,0.6125530498969481,-0.32436931824763443
Bemidji State University,No,1208,12,824,4425,2700,660,1800,57.0,19.6,16,3752,46.0,5.542900819755318,3.473099970406587,9.527865825059408,49.01031203587558,10.151083734530816,10.02256149629937,18727.219793357373,8.444119375767272,2.833213344056216,1.8225861590463004,0.7259933774834437,Low,0,0,-0.2732406406363953,-0.9727316677869278,0.5887221256003545,-1.781279641101148,0.8108421980583805,0.8415717373961816,-1.2494530951634284,1.3561294433902287,-0.28448920152158647,-2.6578353535574277,-1.6325116659989423,-0.14240146751948335
Benedictine College,Yes,632,14,501,9550,3850,350,250,75.0,14.1,18,5922,58.0,5.147108027436891,3.7701053698334652,8.585214700192047,64.6916754897291,8.745786153121648,6.822168546058401,41456.75591363073,6.606696588429186,2.9444389791664403,1.827244073942157,0.9810126582278481,Medium,1,1,-0.9087825139784368,-0.7684736752694478,0.25452777986226477,-0.09761998875753103,-1.5119094043589478,-3.062920596744526,0.17590711389826053,0.0578612934555406,-0.10280094841912382,-1.0152189069534967,0.6125530498969481,1.5923146748623527
Bennington College,Yes,519,25,2,21700,4100,600,500,35.0,10.1,33,16364,55.0,5.0230136003014865,4.998323204843082,0.7174362690695212,86.67774600240956,9.932527964405688,7.892981014082466,16447.810048162224,5.086553747140241,3.5263605246161616,1.834272450380674,0.630057803468208,High,2,1,-1.1080463869533939,0.07620224590010687,-2.5348043450754973,2.2629566246673223,0.4496014388117547,-1.7565250579131293,-1.392393977623881,-1.0162263078285314,0.8477740600370556,1.4633422065399033,0.6125530498969481,-0.794983454211281
Bentley College,Yes,3466,20,1533,13800,5510,630,850,87.0,17.5,20,10941,82.0,6.148291221709282,4.503953018570464,10.770899371589495,73.79206287162756,10.044073557026874,8.750709491517258,45443.82519345305,7.769748570134491,3.044522437723423,1.8319405542609017,0.6722446624350836,Medium,1,1,0.6988613218762781,-0.2637884142137955,1.029409853917204,0.8794605502331131,0.6339700077405097,-0.7100928488101287,0.4259346495311623,0.8796391417393972,0.060686441260878146,0.6409976588717751,0.6125530498969481,-0.5080160334240953
Berry College,Yes,1858,37,49,8050,3940,350,2375,80.0,16.3,17,10511,63.0,5.795802510347577,5.938297343999169,4.746058987760224,60.84268066590548,8.745786153121648,10.510644336358183,36487.79557571775,7.370241616806378,2.8903717578961645,1.831679194506902,0.6571582346609257,Medium,1,1,0.1328547136242795,0.7226458157909562,-1.106552791365331,-0.5108746975091973,-1.5119094043589478,1.4370347749246752,-0.1356944211524122,0.5973594417391935,-0.1911203270674524,0.5488289868373689,0.6125530498969481,-0.6106383516830006
Bethany College,Yes,878,16,62,8740,3363,550,1700,62.0,11.6,29,7718,48.0,5.350293486506336,4.037027549018027,5.095780071709902,62.66702493834651,9.735330960613702,9.923163850665636,23848.004199077237,5.680089865568533,3.4011973816621555,1.8294634599948678,0.929384965831435,Medium,1,1,-0.5825186966500844,-0.5849046607537621,-0.9825675695179338,-0.3150004769714215,0.12366360001576755,0.720306207993199,-0.9283307329438812,-0.5968513856813783,0.643318740239679,-0.23255110106695637,0.6125530498969481,1.2411279287757164
